====== pysrim run =======
        SRIM-2013.00
=====================================
       LATERAL SPREAD OF IONS        
 See SRIM Outputs\TDATA.txt for calc. details   
Ì===================================Ê===================================
  NOTE : The Projected LATERAL Spread is based on a projection on a     
  plane- just the way the XY or XZ displays look on the screen.  The    
  Lateral Projected Range is defined as the average of the absolute     
  values of the projected lateral displacements from the X-axis.        
  One use of this range: If a mask covers half of a target, the lateral 
  range is the distance under the mask where the concentration drops to 
  25% (at the mask edge the concentration= 50% of the uniform value).   
                                                                        
  The Radial Range is the mean radial displacement range from the       
  X-axis a-uming cylindrical symmetry.                                 
========================================================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    = He   Energy = 10 keV
 Total Ions calculated =5000.00
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width = 10000.E-01 AAA ;
  Layer # 1- Density = 6.322E22 atoms/cm3 = 19.3 g/cm3
  Layer # 1-  W = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Ion Average Range = 327238.E-03 A   Straggling = 173509.E-03 A
 Ion Lateral Range = 199746.E-03 A   Straggling = 247033.E-03 A
 Ion Radial  Range = 313383.E-03 A   Straggling = 155128.E-03 A
====================================================================
                LATERAL     Projected      LATERAL        Radial    
  TARGET       PROJ.RANGE   Straggling      RADIAL      Straggling  
  DEPTH (A)   (Angstroms)   (Angstroms)   (Angstroms)   (Angstroms) 
------------ ------------- ------------- ------------- -------------
6000100.E-04 15490038.E-05 18154375.E-05 25369375.E-05 12413349.E-05 
6100100.E-04 18073295.E-05 21987288.E-05 30345742.E-05 12821188.E-05 
6200100.E-04 19314587.E-05 23667265.E-05 26950499.E-05 14411959.E-05 
6300100.E-04 19311061.E-05 23516318.E-05 30753604.E-05 12670964.E-05 
6400100.E-04 18959887.E-05 21994466.E-05 28571027.E-05 14680114.E-05 
6500100.E-04 15617838.E-05 19267809.E-05 23443532.E-05 14557307.E-05 
6600100.E-04 12308321.E-05 15130605.E-05 24280766.E-05 16992640.E-05 
6700100.E-04 17638316.E-05 22270153.E-05 29395562.E-05 94612457.E-06 
6800100.E-04 17749921.E-05 20423809.E-05 29894706.E-05 13880551.E-05 
6900100.E-04 21645035.E-05 26414634.E-05 34771745.E-05 15010081.E-05 
7000100.E-04 17016225.E-05 22051972.E-05 28597128.E-05 15836760.E-05 
7100100.E-04 17986719.E-05 20962535.E-05 30480134.E-05 15321210.E-05 
7200100.E-04 12574247.E-05 14240293.E-05 23530418.E-05 10025805.E-05 
7300100.E-04 15318175.E-05 18372397.E-05 28674933.E-05 80054902.E-06 
7400100.E-04 80317628.E-06 10652069.E-05 15727948.E-05 69904897.E-07 
7500100.E-04 12124038.E-05 15703626.E-05 22074667.E-05 10970230.E-05 
7600100.E-04 39301558.E-06 41454322.E-06 26929108.E-05 59452687.E-06 
7700100.E-04 10041289.E-05 12364933.E-05 16724785.E-05 93653554.E-06 
7800100.E-04 16979328.E-05 22594349.E-05 30047582.E-05 11409207.E-05 
7900100.E-04 20558375.E-05 24237203.E-05 36876584.E-05 43193824.E-06 
8000100.E-04 29470428.E-05 32890167.E-05 43953651.E-05 10451421.E-05 
8100100.E-04 12257240.E-05 16347549.E-05 25567961.E-05 16707103.E-05 
8200100.E-04 14602049.E-05 17956647.E-05 24930250.E-05 11117658.E-05 
8300100.E-04 22787980.E-05 23538550.E-05 24851715.E-05 64220546.E-06 
8400100.E-04 79508599.E-06 88549559.E-06 17202636.E-05 13130989.E-05 
8500100.E-04 48915780.E-06 54830521.E-06 25922978.E-05 18792425.E-05 
8600100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
8700100.E-04 11196013.E-05 14116521.E-05 28957540.E-05 11202574.E-05 
8800100.E-04 77922009.E-06 80932278.E-06 17932834.E-05 79033731.E-06 
8900100.E-04 26311627.E-05 29719607.E-05 27443545.E-05 12952687.E-05 
9000100.E-04 20125056.E-05 20125056.E-05 25177951.E-05 00000000.E+00 
9100100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
9200100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
9300100.E-04 81515452.E-06 81515452.E-06 15399525.E-05 00000000.E+00 
9400100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
9500100.E-04 75381944.E-06 75381944.E-06 37443096.E-05 00000000.E+00 
9600100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
9700100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
9800100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
9900100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1000010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
