====== pysrim run =======
        SRIM-2013.00
=====================================
       LATERAL SPREAD OF IONS        
 See SRIM Outputs\TDATA.txt for calc. details   
Ì===================================Ê===================================
  NOTE : The Projected LATERAL Spread is based on a projection on a     
  plane- just the way the XY or XZ displays look on the screen.  The    
  Lateral Projected Range is defined as the average of the absolute     
  values of the projected lateral displacements from the X-axis.        
  One use of this range: If a mask covers half of a target, the lateral 
  range is the distance under the mask where the concentration drops to 
  25% (at the mask edge the concentration= 50% of the uniform value).   
                                                                        
  The Radial Range is the mean radial displacement range from the       
  X-axis a-uming cylindrical symmetry.                                 
========================================================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    = He   Energy = 10 keV
 Total Ions calculated =5000.00
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width = 10000.E-01 AAA ;
  Layer # 1- Density = 6.322E22 atoms/cm3 = 19.3 g/cm3
  Layer # 1-  W = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Ion Average Range = 333092.E-03 A   Straggling = 172458.E-03 A
 Ion Lateral Range = 197425.E-03 A   Straggling = 245093.E-03 A
 Ion Radial  Range = 312660.E-03 A   Straggling = 154287.E-03 A
====================================================================
                LATERAL     Projected      LATERAL        Radial    
  TARGET       PROJ.RANGE   Straggling      RADIAL      Straggling  
  DEPTH (A)   (Angstroms)   (Angstroms)   (Angstroms)   (Angstroms) 
------------ ------------- ------------- ------------- -------------
6000100.E-04 13933218.E-05 19519180.E-05 23690516.E-05 14087377.E-05 
6100100.E-04 23035416.E-05 28331182.E-05 37877110.E-05 15425419.E-05 
6200100.E-04 14887216.E-05 17337493.E-05 29499657.E-05 10343336.E-05 
6300100.E-04 16191482.E-05 20859586.E-05 27048172.E-05 13785931.E-05 
6400100.E-04 19129088.E-05 22984948.E-05 30446875.E-05 13003705.E-05 
6500100.E-04 20956333.E-05 24330773.E-05 30246057.E-05 13496691.E-05 
6600100.E-04 15016556.E-05 16622492.E-05 25405731.E-05 15466555.E-05 
6700100.E-04 17292531.E-05 19900011.E-05 34711552.E-05 81430148.E-06 
6800100.E-04 18049931.E-05 23190454.E-05 29634962.E-05 12124478.E-05 
6900100.E-04 19758195.E-05 22960146.E-05 30755252.E-05 13747372.E-05 
7000100.E-04 17290045.E-05 21338822.E-05 26057835.E-05 13443369.E-05 
7100100.E-04 17988073.E-05 22635197.E-05 30573466.E-05 13156315.E-05 
7200100.E-04 16843771.E-05 20024927.E-05 25163484.E-05 12545835.E-05 
7300100.E-04 18722313.E-05 21940259.E-05 27698740.E-05 11801809.E-05 
7400100.E-04 18131336.E-05 23630034.E-05 30943539.E-05 14566681.E-05 
7500100.E-04 23889832.E-05 27774666.E-05 31973539.E-05 10558020.E-05 
7600100.E-04 18031657.E-05 22016185.E-05 29844021.E-05 19392634.E-05 
7700100.E-04 13685006.E-05 20003889.E-05 42825392.E-05 12607609.E-05 
7800100.E-04 15643064.E-05 17672738.E-05 41189244.E-05 17343137.E-05 
7900100.E-04 16132076.E-05 19810756.E-05 23611261.E-05 15861348.E-05 
8000100.E-04 21515470.E-05 23383941.E-05 22508241.E-05 92038378.E-06 
8100100.E-04 20093149.E-05 23023251.E-05 29934718.E-05 11671213.E-05 
8200100.E-04 23111643.E-05 28177506.E-05 24841730.E-05 16309863.E-05 
8300100.E-04 11272776.E-05 12660477.E-05 21755927.E-05 12447263.E-06 
8400100.E-04 28119498.E-05 36049080.E-05 43629555.E-05 12832764.E-05 
8500100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
8600100.E-04 25152122.E-05 26999511.E-05 29680363.E-05 92044569.E-06 
8700100.E-04 60924736.E-06 60924736.E-06 23032843.E-05 00000000.E+00 
8800100.E-04 18939810.E-05 18939810.E-05 19709204.E-05 00000000.E+00 
8900100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
9000100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
9100100.E-04 17143387.E-05 19689971.E-05 29984835.E-05 20086565.E-05 
9200100.E-04 55865082.E-06 55865082.E-06 13996015.E-05 00000000.E+00 
9300100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
9400100.E-04 31404290.E-05 31404290.E-05 37840504.E-05 00000000.E+00 
9500100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
9600100.E-04 63624166.E-06 63624166.E-06 35653247.E-05 00000000.E+00 
9700100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
9800100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
9900100.E-04 16013423.E-05 16013423.E-05 23382819.E-05 00000000.E+00 
1000010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
